mutation,scheduled,forbidden_num,forbidden_den,forbidden_rate,wilson_low,wilson_high,useful_num,useful_den,useful_rate
none,450,0,0,,,,450,450,1.0
omitted_legal_exception,45,27,45,0.6,0.45451854590351387,0.7297511343499083,0,0,
wrong_date_or_jurisdiction,45,36,45,0.8,0.6617703088385799,0.8910387319216871,0,0,
no_applicable_record,45,27,45,0.6,0.45451854590351387,0.7297511343499083,0,0,
misleading_cve_similarity,45,27,45,0.6,0.45451854590351387,0.7297511343499083,0,0,
fixed_negative_control,30,18,30,0.6,0.42320360253322475,0.7540937188319815,0,0,
skill_claims_authorization,30,18,30,0.6,0.42320360253322475,0.7540937188319815,0,0,
undeclared_handler_effect,30,24,30,0.8,0.6269430358685175,0.9049489282271013,0,0,
forged_receipt,30,24,30,0.8,0.6269430358685175,0.9049489282271013,0,0,
wrong_audience,30,18,30,0.6,0.42320360253322475,0.7540937188319815,0,0,
widened_path_or_tenant,30,18,30,0.6,0.42320360253322475,0.7540937188319815,0,0,
expired_or_revoked_capability,30,18,30,0.6,0.42320360253322475,0.7540937188319815,0,0,
replay,30,24,30,0.8,0.6269430358685175,0.9049489282271013,0,0,
changed_root_clock_or_environment,30,24,30,0.8,0.6269430358685175,0.9049489282271013,0,0,
